"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TNFAIP2",0.0256083886025196,0.450080332119904,0.423,0.231,1
"CBX5",0.0256202290003796,-0.221029865543687,0.731,0.703,1
"CLNS1A",0.0256353584343322,-0.170283345300758,0.923,0.903,1
"NDUFAB1",0.0257000072283072,-0.126110288439817,0.942,0.976,1
"MALSU1",0.0257266782503354,0.294410722778135,0.865,0.676,1
"EMC10",0.0257858042635813,0.353261445235894,0.942,0.883,1
"GAMT",0.025829230921074,-0.349591070118405,0.115,0.3,1
"GNAQ",0.0258493691786011,-0.208039821444341,0.577,0.614,1
"SPNS1",0.0259584479439967,-0.154542739658297,0.827,0.887,1
"EPN2",0.0259956562315189,0.34813514254372,0.577,0.471,1
"RPS6KB1",0.0260110447584066,-0.276345419118456,0.135,0.297,1
"PLEC",0.0260614541345657,0.348995250376876,0.75,0.591,1
"RNF2",0.026138621498623,-0.223224345458043,0.385,0.515,1
"CCNB1IP1",0.02615345887685,-0.234965925105905,0.288,0.463,1
"PVRL4",0.0262571279666794,0.436986139056597,0.827,0.572,1
"C11orf73",0.0263318745001803,0.329872127816811,0.865,0.812,1
"WBP11",0.0263328041073732,-0.190653444882231,0.692,0.771,1
"GNB1",0.0263460613530031,0.31361128262379,0.75,0.647,1
"ZFAS1",0.0265458396409166,-0.170140731542286,0.904,0.921,1
"ABHD3",0.0266587560691061,-0.254921151739306,0.519,0.598,1
"ZDHHC9",0.0267236169961429,0.302890366270617,0.538,0.46,1
"MRPL47",0.026815600535791,-0.191841225135017,0.865,0.895,1
"MSN",0.0268348897057419,-0.187271930827024,0.692,0.756,1
"MT-ATP8",0.0268524941919282,-0.230528829067975,0.558,0.642,1
"EXTL1",0.0269289724414176,-0.293681564348311,0.192,0.335,1
"VEZF1",0.0270514596344268,-0.218161165131785,0.5,0.591,1
"HIF1A",0.0270946544112301,0.394516828442339,0.692,0.587,1
"CACNB3",0.0271242133907549,-0.245756075355983,0.25,0.382,1
"SUDS3",0.0271685964742768,0.315190587697637,0.75,0.69,1
"CHPF",0.0272019389963368,0.431964620837713,0.712,0.641,1
"VASP",0.0273357029155861,-0.220052540199172,0.692,0.729,1
"PTP4A2",0.0273529105585126,-0.182380895885951,0.808,0.853,1
"C2orf68",0.0273806336557879,0.288342057701462,0.577,0.385,1
"MRPL13",0.0274531148328011,-0.116900440301134,0.962,0.952,1
"PCNP",0.0274665655695654,-0.130743694085321,0.923,0.903,1
"MYCBP2",0.0275145868194416,0.365987201595659,0.462,0.248,1
"PIN1",0.0275272678402366,-0.181432807102314,0.615,0.734,1
"PADI2",0.0275936418872548,0.414935307315572,0.635,0.51,1
"DERL2",0.0276251189611759,0.336349691888016,0.788,0.662,1
"DDIT3",0.02763695239163,-0.249875699856678,0.385,0.533,1
"APEX1",0.0276523875054254,-0.211905044965124,0.846,0.82,1
"MRPS18C",0.0276675628591061,-0.225149066745698,0.654,0.69,1
"G6PD",0.0276860031759594,-0.242380855121626,0.462,0.49,1
"PCYT1A",0.0277168907620898,-0.23096592423833,0.365,0.48,1
"VPS26A",0.0277220841673507,-0.180755976895007,0.615,0.79,1
"KALRN",0.0277385239421487,-0.310256603525082,0.135,0.285,1
"CALU",0.0277903509529219,-0.110399209312993,0.923,0.945,1
"SNHG9",0.0277920975434815,-0.224195745717934,0.5,0.611,1
"FKBP8",0.0278905854074869,0.306088380590385,0.885,0.926,1
"FAM134A",0.0279260592512167,-0.18415646413696,0.577,0.755,1
"CMC2",0.0279339981200625,-0.190864072671625,0.615,0.723,1
"EXOC1",0.0280194488644681,-0.201718281137543,0.558,0.627,1
"MED17",0.0280893912339104,0.285604495132632,0.692,0.56,1
"STX12",0.0282477835531016,0.303105410373202,0.654,0.585,1
"CPPED1",0.0282715668242112,0.332245354056069,0.75,0.584,1
"ZBTB20",0.0283319677869246,-0.272975169462209,0.231,0.367,1
"ARF3",0.0284899603647471,-0.179900058749126,0.654,0.75,1
"OCIAD1",0.0285767484551716,-0.131798678497243,0.923,0.942,1
"PRCC",0.0286814334035237,-0.158733926610182,0.731,0.833,1
"DPH3",0.0287545967646718,0.290946303273073,0.538,0.46,1
"SLC35A1",0.0288052913088383,-0.224669418676938,0.346,0.499,1
"TSPAN6",0.0288485205612767,-0.22529032928414,0.654,0.68,1
"FLOT2",0.0289377237598766,0.30613310307077,0.5,0.392,1
"LAGE3",0.02897210140036,-0.180728955664136,0.865,0.882,1
"MID1IP1",0.0289914844363886,-0.261420543590596,0.192,0.326,1
"NAPG",0.0290626259596267,0.297514345557729,0.788,0.565,1
"MSRB2",0.0290819754717476,0.313395443595708,0.942,0.898,1
"PAXIP1-AS1",0.029114988697287,-0.261554244071753,0.308,0.38,1
"PDLIM1",0.0294067292653505,-0.244056145475729,0.346,0.452,1
"FDPS",0.0294190590674482,-0.214205246321301,0.923,0.939,1
"AP000487.5",0.029467728013828,0.30921849272127,0.5,0.335,1
"FANCF",0.0294901055524896,-0.270351192308912,0.135,0.296,1
"PLS3",0.0296132460953577,-0.347090899296307,0.731,0.794,1
"APOO",0.0297376860799286,-0.236856304997548,0.615,0.631,1
"BFAR",0.0297537148322595,-0.186831532785141,0.635,0.72,1
"DPM3",0.0298795526514235,-0.143957856673949,0.942,0.948,1
"C1orf122",0.029918769607047,-0.150282261894997,0.923,0.908,1
"SPTSSA",0.0299929149688929,-0.262868823643748,0.904,0.859,1
"AKAP13",0.0299978301251302,-0.220252262638875,0.538,0.559,1
"AZIN1",0.0300000129916861,-0.166145898050376,0.75,0.793,1
"ATG12",0.0300350914451469,-0.216736826929498,0.423,0.546,1
"ATF4",0.0301493656348584,-0.185419690846753,0.904,0.934,1
"HMGA1",0.030162154730702,-0.166207234586035,0.923,0.927,1
"RPL21",0.0302048352629012,-0.0100588202343355,1,0.999,1
"MFSD5",0.0302369085250138,-0.244337052086953,0.25,0.381,1
"MYL12A",0.0303434092565463,0.332238956384338,1,0.996,1
"MUC1",0.0303438182677434,0.590352568861398,0.769,0.559,1
"DEXI",0.0303655263489731,-0.183367890714272,0.654,0.684,1
"CDIPT",0.0303902767581812,-0.168487507438483,0.865,0.857,1
"EIF1B",0.030401880479517,-0.15833909622275,0.692,0.81,1
"FAM173B",0.0304578657400017,-0.233361711830799,0.288,0.398,1
"CBWD5",0.0305102810169217,-0.192232404261564,0.712,0.769,1
"DYNLL2",0.0305280509460064,-0.204631578522128,0.462,0.548,1
"EIF2S1",0.0305376766487238,-0.222353448940863,0.635,0.693,1
"TCP1",0.0305627344843607,0.324443981763746,0.942,0.801,1
"RPN1",0.0306522069622356,-0.138388354392128,0.923,0.938,1
"C5orf28",0.0307541468832492,-0.217588627769552,0.404,0.529,1
"SPR",0.0308455435994197,-0.227179320907345,0.519,0.545,1
"RALBP1",0.0310006596027899,-0.166327228470317,0.885,0.891,1
"TMEM243",0.0310193319241201,-0.246879246649406,0.231,0.357,1
"SMIM22",0.0310952433086567,0.500687470237579,0.75,0.324,1
"DHX15",0.0311602551072658,-0.189164584854778,0.692,0.732,1
"NADK",0.0312192158421299,0.271603354054139,0.519,0.409,1
"TRPS1",0.03128041100866,-0.134427928058095,0.942,0.957,1
"NENF",0.0312962448031906,-0.105797881014265,0.904,0.949,1
"ZFAND2B",0.0313006952350025,0.293282798971733,0.442,0.406,1
"GUK1",0.0314518349498965,0.327341273696176,1,0.992,1
"TRIM38",0.0314835412922049,-0.229892357247784,0.308,0.44,1
"RUVBL1",0.0315934176111938,-0.34393690817373,0.635,0.602,1
"KDELR1",0.0316201403215209,-0.162453722457552,0.885,0.902,1
"VCPIP1",0.0316560518147075,-0.232383342109892,0.346,0.511,1
"IRX2",0.0316568563207721,-0.256525037441896,0.442,0.526,1
"LIPH",0.0317382658422301,-0.277177506899582,0.25,0.381,1
"ADAR",0.0317431095652044,0.350575308133486,0.808,0.773,1
"TYW1",0.0317534975024177,0.33384542512362,0.519,0.318,1
"LYPLAL1",0.0318055552428135,-0.189951683217018,0.615,0.708,1
"CDK10",0.0318130304458421,0.297045435669346,0.481,0.441,1
"QSOX1",0.031847870859909,0.41657683841396,0.962,0.887,1
"TMEM14B",0.0319514440628078,-0.143425333393461,0.942,0.935,1
"DNAH14",0.0319629839551592,-0.225560811236254,0.519,0.565,1
"CDC42",0.0321279170030936,-0.177752636398984,0.942,0.929,1
"MGAT1",0.0321319631188276,-0.217201485790147,0.558,0.626,1
"MAPK1IP1L",0.0321328525451558,-0.200873859081894,0.519,0.673,1
"SNRNP27",0.0322286847492649,0.292108887624381,0.635,0.49,1
"UPP1",0.0322468177936057,-0.297345597616961,0.192,0.345,1
"IFITM1",0.0323482541911614,0.71042682775357,0.577,0.392,1
"PPM1D",0.0323495544206927,-0.265662722328821,0.192,0.311,1
"MARCO",0.0323570314933575,-0.265459511533234,0.462,0.443,1
"RBM25",0.0324066640382725,-0.199264067528027,0.827,0.824,1
"RAD51C",0.0324077597798931,-0.269952492557614,0.25,0.381,1
"PPIA",0.0324665713613021,0.209352728895676,1,0.999,1
"MIR99AHG",0.0325264842338854,-0.315868327612973,0.077,0.25,1
"USP5",0.032575896245523,-0.211840022822675,0.462,0.567,1
"IER5L",0.0327886978275647,0.432580415480125,0.75,0.6,1
"LMAN2",0.0328305960174249,0.353158437896658,0.962,0.923,1
"TMEM186",0.0328365908102151,-0.211297796402672,0.442,0.515,1
"DCTPP1",0.032972460903289,-0.210820536953754,0.731,0.836,1
"MRPL41",0.0330457000881102,-0.15999741672821,0.808,0.872,1
"CCNH",0.0331728329980046,-0.252052290810168,0.115,0.319,1
"WBSCR16",0.0332693014440328,-0.214188090884436,0.327,0.429,1
"TFAP2A",0.0332989929512005,0.364228724463453,0.769,0.689,1
"CETN2",0.033416005616944,0.296968218068723,0.846,0.801,1
"CD320",0.0335358735513146,-0.347349414092672,0.365,0.37,1
"RPP25L",0.0335844847311412,-0.195564214993599,0.596,0.635,1
"ARHGEF35",0.0335855421703507,-0.184701045012948,0.577,0.721,1
"RAP2B",0.0336656657129645,0.311055385051024,0.615,0.408,1
"UAP1",0.0336739237784444,-0.141551313964033,0.827,0.886,1
"MT-ND3",0.0336983492947603,-0.178980783470281,1,0.995,1
"NSL1",0.0338323706618149,-0.198554390714777,0.712,0.705,1
"UBE2N",0.0339076334980514,-0.141376928559276,0.673,0.841,1
"LAMTOR5",0.0339178015358942,-0.0914855640035817,0.981,0.976,1
"FBLN1",0.0339778731027805,-0.35890941510989,0.269,0.367,1
"DPP7",0.0339878875082036,-0.211412005049028,0.596,0.771,1
"TSPAN5",0.034052374790205,-0.321073486744234,0.288,0.393,1
"BLOC1S4",0.034055112714932,-0.167897804811969,0.769,0.813,1
"RIC8A",0.0341154469436464,-0.206141042309488,0.481,0.557,1
"ATP1B1",0.0341301333871704,0.546202889319465,0.904,0.868,1
"PSPC1",0.0342066985051794,0.28479350412262,0.635,0.501,1
"LINC01615",0.0343166611622374,0.596827889676751,0.423,0.156,1
"ST6GALNAC5",0.0344680119506538,0.395999770662099,0.5,0.221,1
"MRPS11",0.0345044727477093,-0.159147823016071,0.673,0.759,1
"RP11-798M19.6",0.0346066092092277,-0.263110549552653,0.25,0.345,1
"ABI1",0.0346500323647072,-0.204078334261451,0.769,0.849,1
"PEX11B",0.034664513519461,-0.195207133192548,0.519,0.579,1
"UCHL3",0.0347248462638346,0.34018377394076,0.519,0.376,1
"TIMM44",0.0347773112625338,-0.219843811924946,0.423,0.537,1
"SERP1",0.0347795470451543,-0.142039910802604,1,0.981,1
"RRS1",0.0348086868010708,-0.270570654139032,0.404,0.485,1
"SRP9",0.0348721682648682,-0.117969362985282,1,0.987,1
"PIGF",0.0349047526127146,0.261466351710067,0.558,0.412,1
"EXOSC7",0.0350561241251489,-0.202638905496923,0.5,0.544,1
"OXCT1",0.0351118030237287,-0.241603436247425,0.385,0.429,1
"TMEM68",0.0351642365009563,-0.201255272181509,0.769,0.74,1
"HIST1H1C",0.0351708576656475,-0.239511246933578,0.827,0.904,1
"CYB561",0.0351867816552778,-0.21829907195971,0.596,0.629,1
"TPI1",0.0352204884954059,0.303991646689211,0.981,0.996,1
"ZDHHC16",0.0353178038959853,0.34130596909018,0.558,0.424,1
"PHF1",0.0354883228373352,-0.213397789554955,0.404,0.511,1
"LSM6",0.0355451773789118,-0.176910672150597,0.635,0.711,1
"MTX1",0.0355601422304228,-0.163736473844674,0.827,0.84,1
"ATP5D",0.0355614765194668,-0.129538191346207,0.865,0.933,1
"KCTD6",0.0356576344263794,-0.28252024597484,0.115,0.272,1
"VWA5A",0.0356955667868395,-0.286429820137778,0.231,0.339,1
"PILRB",0.0358182200966233,-0.271402969331912,0.173,0.299,1
"PRSS8",0.0358182371054589,-0.168773710758284,0.981,0.931,1
"DUSP23",0.0358830901137522,-0.153698543483989,0.865,0.922,1
"FUCA1",0.0359650152644561,0.336085098573952,0.423,0.311,1
"NSMCE3",0.0359699427956401,0.30683028368083,0.5,0.334,1
"BECN1",0.0360433306274838,0.285409153579169,0.538,0.435,1
"UNC93B1",0.0360444450937747,-0.236037382888434,0.577,0.615,1
"HMGB2",0.0361059775546935,-0.746728755123265,0.673,0.777,1
"RDH14",0.0361298717673434,0.265565591784307,0.654,0.541,1
"ATXN1L",0.0361885523728113,0.398890944056321,0.404,0.252,1
"NUP85",0.0362544828680305,-0.23022005629312,0.269,0.41,1
"DDX54",0.0363117910729644,-0.201356446489267,0.481,0.568,1
"IFNGR2",0.0363600394441244,-0.220002199286667,0.596,0.688,1
"IGSF3",0.0364083163289962,0.33931775559441,0.788,0.704,1
"SGSM3",0.0365162574618977,-0.205753894714427,0.481,0.573,1
"ADD3",0.0365470765614128,-0.2696828866252,0.288,0.37,1
"MRPL2",0.0365732261578002,0.294227144858553,0.981,0.945,1
"CABYR",0.0366488315421657,-0.267016729974797,0.192,0.31,1
"UBXN2B",0.036737261865762,0.277475136847815,0.558,0.409,1
"ZNHIT3",0.0368248803058002,-0.193594966646015,0.462,0.596,1
"C19orf25",0.0369255458156707,0.276783097192923,0.596,0.412,1
"IGF2BP2",0.0372736703970866,0.304098081729568,0.462,0.346,1
"SERINC3",0.0372810183999053,-0.162624052000553,0.846,0.832,1
"ANP32B",0.0372975139854248,-0.122099952791423,1,0.953,1
"PHACTR2",0.0373483700885328,0.350797931227027,0.5,0.241,1
"RBM6",0.0374048911597803,-0.221740231997277,0.308,0.463,1
"ITPR2",0.0374944516418319,-0.238211213372671,0.404,0.471,1
"ADCY2",0.0375098743317505,-0.240952620835062,0.288,0.385,1
"BNIP3L",0.0375943335317744,0.443813294172913,0.788,0.756,1
"TMEM70",0.0377033664453418,-0.169009997792454,0.731,0.809,1
"PSORS1C1",0.0377830699309335,0.385742984881263,0.442,0.236,1
"OGDH",0.0378114679835314,0.295303719445094,0.462,0.273,1
"HCFC1R1",0.0379982618829082,-0.165169589392018,0.769,0.828,1
"WFDC2",0.0381828109568297,0.802132539590613,0.423,0.164,1
"PSMB4",0.0382239202692629,-0.140001779424968,0.923,0.946,1
"CAMK2G",0.0382364248457856,-0.25459567062323,0.135,0.327,1
"BRPF1",0.0382619329175391,0.524188452089478,0.404,0.157,1
"ATPAF2",0.0384631729537242,0.300147431762341,0.5,0.275,1
"HLA-C",0.0384992870841948,0.504001547295515,1,0.995,1
"MPHOSPH6",0.0385543386764975,0.295470056705799,0.712,0.559,1
"AP3B1",0.0386079719680691,-0.214614904145314,0.423,0.491,1
"CLTB",0.0386587406010189,0.300163766162306,0.769,0.699,1
"STK17A",0.0386807953242386,0.366680138708351,0.385,0.283,1
"SUMF1",0.0386882378244613,0.305058202953327,0.654,0.567,1
"LY6E",0.038742425581518,0.413952381157599,0.981,0.943,1
"DDX6",0.0387825566181669,-0.221374973276981,0.673,0.699,1
"CRB3",0.0388690002113954,0.302130646327043,0.615,0.53,1
"GNL2",0.0388900069870266,-0.208129675084693,0.462,0.524,1
"IMPAD1",0.039001370724972,-0.112595244532528,0.865,0.868,1
"PEX5",0.039007058431805,-0.245198619769106,0.192,0.315,1
"UFM1",0.0390653476440894,-0.152183046150048,0.731,0.837,1
"ZNF7",0.0391587912945357,-0.157344751265827,0.654,0.725,1
"ARHGEF10",0.0391824626491892,0.29645270967872,0.5,0.314,1
"RPS5",0.0391840326992913,-0.0574160003694821,1,0.992,1
"MYL6B",0.0392674977899041,-0.203553411637714,0.519,0.585,1
"HADHA",0.0393413837059019,-0.18002960528905,0.769,0.739,1
"PLXNB2",0.0394134227743038,0.308558693462446,0.673,0.502,1
"TDG",0.039447676905458,-0.16779888370904,0.673,0.708,1
"CCPG1",0.0395404089540985,0.295255442941245,0.654,0.502,1
"MCFD2",0.0395890016344738,0.265010107986203,0.692,0.514,1
"TRAP1",0.039608982746853,-0.22810416918735,0.654,0.674,1
"SOX9",0.0396129563316795,0.416659987785033,0.769,0.643,1
"SMPDL3B",0.0396912814706901,-0.230784601415131,0.269,0.402,1
"RPP30",0.0396975143122326,-0.205995341292788,0.365,0.495,1
"RAB9A",0.039849006358234,-0.171452648043246,0.75,0.767,1
"PHIP",0.0398534046013689,0.303262947095024,0.635,0.633,1
"GSK3B",0.0398737732076574,-0.198645283456397,0.385,0.56,1
"ZBTB41",0.0399733769834506,-0.229962868478749,0.25,0.367,1
"EPC1",0.0399985915400496,0.304283601570484,0.731,0.65,1
"POU2F1",0.0400058549696086,-0.271024607137011,0.115,0.271,1
"DKC1",0.0401012080571354,-0.217848396354599,0.75,0.75,1
"ISLR",0.0401876000446723,-0.353324200982439,0.212,0.269,1
"FAM213B",0.0402791172800221,0.351351855227262,0.385,0.277,1
"CDK4",0.0402792205285274,-0.181940514949085,0.731,0.848,1
"ANKRD54",0.0403242175151977,-0.2106067194775,0.288,0.409,1
"C8orf82",0.0404048732488891,-0.201089503192939,0.5,0.581,1
"LINC00960",0.0404699913670373,0.346513582971022,0.538,0.276,1
"TAPBPL",0.0405879695135256,-0.214501822546189,0.346,0.44,1
"BRIX1",0.0407426995087055,-0.192968660996548,0.635,0.684,1
"PDCD4",0.0408141466734536,-0.172753079775147,0.635,0.732,1
"FAM63A",0.0408401908770376,-0.243594734066516,0.135,0.292,1
"NT5C3B",0.0408402629488019,-0.191175379173497,0.635,0.677,1
"EIF4A3",0.0409819541106009,-0.166476742167463,0.923,0.895,1
"MRPL36",0.041012574114482,-0.0763709036826969,0.904,0.943,1
"ATP5G1",0.0410185396969626,-0.207384106079208,0.865,0.826,1
"ZYX",0.0411717689164569,-0.190264958854248,0.538,0.638,1
"RNF213",0.0412039569240611,-0.171395249048196,0.673,0.703,1
"MIA3",0.0413484014019479,-0.213968133447016,0.615,0.654,1
"PMP22",0.0413731585359028,-0.151490341935036,0.981,0.946,1
"FOXRED2",0.0415224043985384,-0.23776827096755,0.231,0.347,1
"ZNF75A",0.0416743876492035,-0.188360879881004,0.558,0.594,1
"HDAC5",0.0417200594621089,-0.19964472585237,0.481,0.549,1
"RNASET2",0.0417444048160442,0.342789841723838,0.635,0.524,1
"RITA1",0.0417656832705268,-0.191313624631849,0.481,0.536,1
"DHRS3",0.0417915552488329,-0.262626306335993,0.385,0.532,1
"POLE4",0.0419568280898638,0.308984704998716,0.712,0.576,1
"MORF4L2",0.0419714304782679,-0.0816733549196567,0.923,0.964,1
"BCL7B",0.0419841584889885,-0.218503753103686,0.308,0.41,1
"CDK5RAP2",0.0419946853304795,-0.230506276915205,0.288,0.413,1
"CTBP1",0.0420316846407701,-0.137697809266949,0.673,0.75,1
"ZNF394",0.0420369061188866,-0.218045342347017,0.308,0.412,1
"MARCKS",0.0421160206811409,0.378627183667522,0.788,0.577,1
"SLC35A4",0.0421583101068457,0.27835796912884,0.577,0.371,1
"EIF4A1",0.0421605251678488,0.267816660370063,0.942,0.925,1
"SPPL3",0.0421789983457737,-0.15926113108924,0.538,0.68,1
"CPSF4",0.0422482270402618,-0.222115006656065,0.25,0.381,1
"SNRPB",0.042347314999361,0.329087395259687,1,0.992,1
"RXRB",0.0424041376215694,-0.192076180274681,0.519,0.614,1
"DBNDD1",0.0424134147591901,-0.227874275944749,0.423,0.511,1
"UBE2F",0.0424200374112616,0.282903859460445,0.635,0.567,1
"SHISA9",0.0424520811478258,0.407228353419769,0.5,0.252,1
"POLR3GL",0.0424733885027359,-0.204880469239711,0.481,0.536,1
"RPL7A",0.0424814452446664,0.167983205137785,1,0.999,1
"LBR",0.0426076989384946,-0.33132358343799,0.308,0.432,1
"RPL5",0.0426744846889131,0.168375687206118,1,0.999,1
"TBX18",0.0426759435005661,0.456635973564846,0.442,0.16,1
"HIST1H2BN",0.0429176357221212,-0.2945301177601,0.135,0.272,1
"OAZ3",0.0430132659214346,0.299417215137069,0.481,0.277,1
"CALM3",0.0432058678371973,-0.157254475840682,0.865,0.868,1
"TSG101",0.043215481072574,-0.155841787236898,0.75,0.801,1
"AP1B1",0.0432561758941696,0.287149254788629,0.538,0.311,1
"FAM222B",0.0432582087399713,0.297463184344883,0.519,0.353,1
"SAA1",0.0434682367650243,1.45812478854153,0.904,0.637,1
"UQCC3",0.0435221856396354,-0.179315293722797,0.673,0.692,1
"QKI",0.0436000751039635,0.288825696673772,0.481,0.398,1
"MAP2K7",0.0436128699766807,0.270336269647146,0.558,0.415,1
"HSPB11",0.0437246956756457,-0.184489934356147,0.519,0.61,1
"UBE2D3",0.0437379625141003,-0.087493991439251,0.981,0.97,1
"VKORC1",0.0437484857763408,0.330549131602528,0.904,0.927,1
"EBPL",0.0440328099439452,-0.150213125916028,0.865,0.84,1
"EHD1",0.0441700035873068,0.313216726340491,0.423,0.314,1
"STARD7",0.0442145433894653,-0.205995341292788,0.423,0.487,1
"ZHX1",0.044225671914211,-0.178938112383466,0.5,0.584,1
"C15orf48",0.0442498919917598,0.900307096239268,0.5,0.225,1
"LINC01003",0.0443629878837222,-0.171478418277798,0.5,0.591,1
"UBE2M",0.0445616466115456,0.314280268623001,0.538,0.45,1
"AP006222.2",0.0445725523366477,-0.217088189581232,0.231,0.381,1
"AIDA",0.044681895527174,-0.18410868407632,0.692,0.682,1
"VAMP7",0.0448532791182606,-0.197168649525834,0.423,0.525,1
"VPS72",0.0449386994839908,-0.145920926682388,0.846,0.859,1
"ACP2",0.0449830115734974,-0.213306549038805,0.269,0.389,1
"TNRC18",0.0453799613743386,0.298154896343218,0.442,0.257,1
"UBC",0.0454088593084468,-0.0650521326052997,1,1,1
"UFD1L",0.0457180605454383,0.303011944334435,0.788,0.665,1
"PEG3",0.0457468545676588,0.442366855610617,0.885,0.774,1
"CWF19L2",0.0457525467392495,0.277811390209292,0.615,0.466,1
"STK19",0.0457735550604027,-0.178893475784825,0.577,0.635,1
"ADSS",0.0458016445144402,0.292207611285796,0.904,0.9,1
"ARPC5L",0.0458630423481498,0.328114048702498,0.904,0.926,1
"PRKAR1B",0.0459468044009792,0.424652778538563,0.404,0.201,1
"BCKDK",0.0460071754783228,-0.138840871439471,0.635,0.744,1
"WDR3",0.0461790235046691,-0.223145135254554,0.654,0.62,1
"PTP4A3",0.046340988847153,-0.204373424268797,0.731,0.777,1
"TBL1XR1",0.0463698164301947,-0.191953036145812,0.788,0.84,1
"RNF40",0.0464951990032954,-0.179162861471517,0.385,0.544,1
"LRRC61",0.0465954045674969,-0.216789999141459,0.404,0.429,1
"DMTF1",0.0466395382731255,-0.228968677697127,0.192,0.327,1
"RAB11FIP1",0.0466676953279178,0.371606128843229,0.481,0.373,1
"ADH5",0.0467041932293152,-0.197024025693234,0.75,0.763,1
"THOC2",0.0467114571420872,0.275360231607299,0.731,0.602,1
"VOPP1",0.0467459071787112,-0.140501241102412,0.423,0.63,1
"PARL",0.046866530040321,-0.15776983187912,0.596,0.686,1
"LYRM4",0.0468881472564985,-0.220287653605058,0.423,0.455,1
"REST",0.0469600192916282,0.32437117678586,0.673,0.669,1
"DHTKD1",0.0469635256366428,-0.228541275815497,0.538,0.596,1
"MYDGF",0.047050900230014,0.300725782157295,0.962,0.957,1
"RRBP1",0.0470538547099522,0.40277292318347,0.981,0.948,1
"EHMT1",0.0470547184492396,0.270148004448605,0.577,0.393,1
"HMGCL",0.0470804615839536,-0.190227196911021,0.404,0.55,1
"BCL6",0.0470857178343232,-0.233870848405753,0.212,0.346,1
"KTN1",0.0471324508515405,-0.0567941977191331,0.942,0.961,1
"XPA",0.0472001332370869,0.291708908799861,0.596,0.423,1
"TMF1",0.0472136266098859,-0.173688316653564,0.538,0.623,1
"MAN1B1",0.0472720433292847,-0.165125028071235,0.673,0.755,1
"CERS5",0.0472930832058325,-0.216332654062058,0.212,0.351,1
"FNTA",0.0472933820900575,-0.185369358364414,0.654,0.622,1
"RBM26",0.0472936872726672,0.28807972566312,0.538,0.318,1
"ATP6V1D",0.047339941943804,-0.149325091489419,0.827,0.84,1
"SH2B1",0.0473878292085832,-0.229641743290948,0.192,0.334,1
"CTSC",0.0474923791231784,-0.35334081567211,0.212,0.307,1
"NT5C2",0.0476838260038137,0.274899794789389,0.519,0.467,1
"C14orf2",0.0478126006622252,-0.0583904435621734,1,0.988,1
"SUV39H2",0.0478366640767049,-0.289006890311235,0.135,0.266,1
"ZC3H18",0.0478557444147849,0.265891366888071,0.558,0.464,1
"SRSF3",0.0478991212933746,-0.0802172935467378,0.981,0.984,1
"VAC14",0.0479602069087629,0.308114761386666,0.712,0.501,1
"MPI",0.0480448666552339,-0.256238333339027,0.135,0.289,1
"FGF13",0.0480741701980184,0.342013990647926,0.75,0.526,1
"OCLN",0.0481408379440998,0.328705932310546,0.519,0.4,1
"APPL1",0.0481499032463104,-0.16534970998394,0.615,0.708,1
"PAK2",0.0481929562153307,-0.133818722671756,0.769,0.822,1
"NDUFA12",0.0482532985943132,-0.135609086394636,0.865,0.896,1
"TRIM58",0.0482900624844692,0.598789406010037,0.385,0.121,1
"LAS1L",0.048321523003613,-0.20300618370836,0.346,0.435,1
"EPC2",0.0483409949300966,-0.207615436960949,0.346,0.436,1
"IPO5",0.0483612531517606,0.27240051383244,0.558,0.381,1
"GBA2",0.0485032477513878,0.309349945572467,0.404,0.225,1
"UBE2E1",0.0485925423857806,-0.133984096377399,0.808,0.806,1
"ISOC2",0.0487200843883484,-0.189758455272327,0.481,0.594,1
"FUCA2",0.048790963660067,0.309975927431723,0.577,0.417,1
"TMEM261",0.0489526815497894,0.244731730199947,0.942,0.818,1
"TARBP1",0.048983823240217,0.447587360605463,0.635,0.389,1
"NUB1",0.0490444976285719,-0.162219098013119,0.423,0.546,1
"PARN",0.0490482293941917,-0.194640575705497,0.5,0.56,1
"CBWD3",0.04920090221492,-0.181368664312755,0.327,0.459,1
"DYNC1LI2",0.049319015780312,0.394353489065897,0.885,0.801,1
"CLK1",0.049409798766423,-0.212258810911051,0.577,0.59,1
"C9orf9",0.0494364613067226,0.300147431762341,0.404,0.265,1
"RNASEH1",0.0494771673306661,0.285078635808096,0.692,0.456,1
"EIF2B4",0.0495830348474193,0.272574741843145,0.558,0.424,1
"KAZN",0.0496905912551818,-0.195363176136931,0.365,0.507,1
"TSPAN4",0.0497879221530002,-0.210069417890928,0.442,0.521,1
"SLC35A5",0.0499144834736113,-0.240749180795116,0.135,0.291,1
"RPS29",0.0500638959887653,0.178807692910179,1,0.995,1
"UBL4A",0.0500669687364226,-0.186061293960607,0.442,0.568,1
"ING1",0.0500729356048274,0.289290887095011,0.481,0.318,1
"MRTO4",0.0502504481921879,-0.229310508060269,0.385,0.452,1
"COBL",0.0502783779603091,0.331628763454372,0.462,0.306,1
"DENR",0.0503764296019451,0.275275154500337,0.75,0.684,1
"LPIN1",0.0504517728218927,0.20172085267229,0.558,0.435,1
"ISCA2",0.0505328065485862,-0.179709440391065,0.423,0.552,1
"DDIT4",0.0506707288044146,0.694824604418103,0.808,0.719,1
