"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IFRD1",8.09062536524607e-12,-1.03336182473057,0.75,0.913,2.72605531056601e-07
"SEC13",1.08616465971402e-11,1.28789857454624,0.981,0.786,3.6597232044404e-07
"SUMO2",1.47252750573038e-11,-0.535031860248458,1,0.996,4.96153417780793e-07
"COMMD6",1.76375040342375e-11,0.803656612222795,0.962,0.95,5.94278060929599e-07
"THUMPD3-AS1",1.8029096331518e-11,1.35612793329725,0.962,0.832,6.07472371794167e-07
"MPC2",2.16951739454489e-11,-0.704493967976445,0.904,0.978,7.30997190917957e-07
"SDCBP",2.18926316928158e-11,-0.78737745048074,0.962,0.983,7.37650332257735e-07
"MYLK",2.19658393462017e-11,-1.35989032675965,0.538,0.855,7.40116990930922e-07
"MATN3",2.70163851501387e-11,-1.54729058753118,0.154,0.528,9.10290081248773e-07
"PPDPF",2.83372585941318e-11,0.691959597517855,1,0.997,9.54795591070677e-07
"ACTA2",3.04198358700403e-11,-2.01712837993853,0.481,0.694,1.02496594980514e-06
"CKS2",3.04805116977201e-11,-1.48177919060472,0.769,0.903,1.02701036114298e-06
"SOHLH1",3.16311116959475e-11,-1.03951087114301,0.038,0.486,1.06577867748325e-06
"TUBA1A",3.55436663345229e-11,-1.11792801539123,0.865,0.945,1.19760829347541e-06
"SH3BGR",3.81082800362732e-11,-1.1922993522205,0.212,0.563,1.28402038754219e-06
"POLR2J",4.69902535777713e-11,-0.692831050450865,0.808,0.952,1.58328960404943e-06
"TMEM176A",4.81135001226906e-11,-1.11220109786426,0.577,0.777,1.62113627313394e-06
"MIA",5.10609206671662e-11,-1.09964114563014,0.404,0.711,1.7204466609595e-06
"SFRP1",5.13910294127734e-11,-0.928726678481245,0.885,0.935,1.73156934503399e-06
"CHPT1",5.45949342909094e-11,-1.01607207349813,0.635,0.847,1.8395217159979e-06
"ATP5G2",5.46195091078182e-11,-0.495006479032884,0.962,0.985,1.84034973987883e-06
"LITAF",5.5258205845218e-11,-0.807503856700392,0.904,0.968,1.86186998774877e-06
"DYNLRB1",5.57588601430363e-11,-0.599891498662862,0.962,0.978,1.87873903365946e-06
"PDGFRA",6.32174585812707e-11,-1.25914573760103,0.115,0.479,2.13004904943734e-06
"TUBA1B",9.08521749594965e-11,-1.05505035223873,0.885,0.966,3.06117318308528e-06
"MAF1",1.04157931207526e-10,-0.629420869093665,0.962,0.972,3.50949733410638e-06
"TAGLN",1.17250241813828e-10,-1.50199796649007,0.769,0.919,3.95062964767513e-06
"EMC3",1.29913166286787e-10,1.15895316018033,0.981,0.84,4.37729422486699e-06
"ARPC4",1.3021344081704e-10,1.11373372732439,0.962,0.851,4.38741167488934e-06
"JAGN1",1.32004414140881e-10,1.07800664507674,0.923,0.822,4.44775673006284e-06
"TMBIM6",1.39718729366747e-10,-0.600074402136205,0.981,0.995,4.70768286728319e-06
"S100A6",1.41601618411679e-10,1.47554505057561,1,1,4.7711249307631e-06
"TSC22D4",1.44078834080048e-10,-0.89164577043838,0.577,0.81,4.85459223549313e-06
"FAM213A",1.49118215239006e-10,-0.715327578792902,0.731,0.919,5.02438914426308e-06
"ZNHIT1",1.57449988155739e-10,-0.648805224095762,0.865,0.969,5.30511990091948e-06
"JMJD8",1.62470509344848e-10,-1.00018789577064,0.115,0.541,5.4742813418653e-06
"SLC9A3R2",1.80149834376183e-10,-0.941224317685788,0.635,0.817,6.06996851947111e-06
"RAC1",2.03707158732913e-10,0.634085651485773,1,1,6.86370900634677e-06
"RPL10",2.17701841267466e-10,0.497596252257375,1,1,7.335245839666e-06
"SBSPON",2.23704207038756e-10,-2.07275663446658,0.404,0.61,7.53748955196383e-06
"PSMC2",2.30397961816117e-10,-0.754404256224193,0.635,0.869,7.76302892543224e-06
"H2AFJ",2.68664621131402e-10,-0.742924260763451,1,0.996,9.05238574440145e-06
"UBA1",2.74692025192381e-10,1.04685290636781,0.981,0.794,9.25547309683209e-06
"IGFBP7",2.93718806710064e-10,-1.26326073455817,0.808,0.899,9.89656147328889e-06
"ABHD13",3.1355025401311e-10,-0.989588208185903,0.615,0.77,1.05647622587177e-05
"PTMS",3.38852521584895e-10,-0.808471260358326,0.981,0.987,1.14172968622815e-05
"TRIM47",3.70166880006352e-10,-0.776487166961093,0.75,0.891,1.2472402854934e-05
"ANAPC11",3.88955215102539e-10,-0.563308475415368,0.904,0.976,1.3105457017665e-05
"ACTR6",3.89300424901728e-10,-0.889148640316254,0.423,0.715,1.31170885166388e-05
"RPL38",5.34642336024075e-10,-0.382598798119226,1,0.999,1.80142388699952e-05
"TPM2",5.40288356403688e-10,-1.02784344033295,0.615,0.785,1.82044758806659e-05
"MYO1B",6.46362853327699e-10,-0.961371283018632,0.327,0.614,2.17785499800235e-05
"PDAP1",6.97434559498444e-10,-0.702193214796825,0.769,0.919,2.34993600477406e-05
"FIS1",7.07703204996057e-10,-0.798955346355773,0.596,0.812,2.38453517891371e-05
"SPCS1",8.00190768306906e-10,-0.51380325722479,0.981,0.98,2.69616277473329e-05
"PSMA7",9.79141349337161e-10,-0.49085752740961,0.981,0.997,3.29911886245663e-05
"HIST1H2AE",1.03477722281793e-09,-1.14460563943515,0.558,0.783,3.48657837456273e-05
"ARL5A",1.03552763052672e-09,-0.859888385204389,0.75,0.848,3.48910679829672e-05
"METTL7A",1.07908586461664e-09,-1.0831061730297,0.212,0.557,3.63587191223929e-05
"SRPK2",1.09454048093536e-09,-0.814217367497083,0.673,0.848,3.68794469646361e-05
"SCARA3",1.19797663252247e-09,-0.873632577450842,0.154,0.53,4.0364624656212e-05
"RAB7A",1.25137213650284e-09,-0.627831687729641,0.942,0.965,4.21637327673266e-05
"COX6C",1.25999695957293e-09,-0.446383205772159,1,1,4.24543375558503e-05
"ABI2",1.29239938736789e-09,-0.860231761390917,0.385,0.711,4.35461049579738e-05
"AP1S1",1.36455267993015e-09,-0.77203056027802,0.769,0.887,4.59772379975666e-05
"ATP5H",1.54130222833591e-09,-0.636734823229237,0.865,0.923,5.193263728155e-05
"FAM92A1",1.65382707149213e-09,0.942882882278443,0.75,0.33,5.57240493468558e-05
"DSC3",1.72965602863911e-09,-0.921666639179154,0.096,0.507,5.82790302289663e-05
"LDHB",1.7548847846286e-09,-1.1283759252163,0.635,0.852,5.9129087933276e-05
"RBP7",1.76689479908824e-09,-0.831273412608719,0.712,0.837,5.9533753360479e-05
"HNRNPF",1.89234538665725e-09,-0.731718165145495,0.904,0.949,6.37606854580295e-05
"SYPL1",1.89390262733479e-09,-0.786564910051508,0.923,0.933,6.38131551254185e-05
"IL17RC",1.96704362071018e-09,1.09279266055353,0.827,0.467,6.62775677562087e-05
"VHL",2.04026795603804e-09,1.03244300463869,0.712,0.419,6.87447885107458e-05
"HIST1H2BG",2.04248878267342e-09,-0.907261437528972,0.462,0.705,6.88196170433981e-05
"XAGE2",2.13149104171471e-09,-1.23277936051504,0.096,0.471,7.18184591595356e-05
"PPP1R12A",2.51625992494268e-09,-0.982305532242207,0.519,0.766,8.47828619110188e-05
"CD9",2.68609562044376e-09,-0.67624683799439,1,1,9.05053058352319e-05
"GCSH",2.73536845141104e-09,-0.878992689499579,0.923,0.917,9.21655046018436e-05
"MYL9",2.75761411057659e-09,-1.15201418892279,0.904,0.954,9.29150498417677e-05
"CD63",2.81874203080942e-09,-0.463882319211225,1,1,9.49746939860924e-05
"TMA7",3.00520415716844e-09,-0.383526701541824,1,0.991,0.000101257348871634
"COX7A2",3.41309701803669e-09,0.648633409562292,1,0.995,0.000115000890925728
"VPS28",3.47461210865443e-09,-0.443637801664526,0.981,0.992,0.000117073580389002
"MAD2L1BP",3.55792204707373e-09,0.807767595738435,0.865,0.612,0.000119880625454102
"HBP1",3.91950816817078e-09,-0.790225589140578,0.615,0.824,0.000132063908218346
"C3orf38",4.1058591503453e-09,0.895147292409719,0.712,0.467,0.000138342818211735
"SLC29A1",4.15930366467379e-09,-0.746073071727845,1,0.983,0.000140143577677519
"PGM2",4.33965209775349e-09,-0.827135159718474,0.423,0.665,0.000146220237781706
"S100B",4.39739046057082e-09,-1.08495207902755,0.615,0.798,0.000148165674178473
"LAMTOR4",4.9281352188755e-09,-0.539644481710479,0.885,0.957,0.000166048588064791
"VMP1",4.98816199901971e-09,-0.707086293866446,0.788,0.923,0.00016807113039497
"CDK16",5.05559786808154e-09,0.960497512695029,0.962,0.841,0.000170343314567139
"LAD1",5.2678504914624e-09,0.834478344348276,0.808,0.623,0.000177494954459334
"POMP",5.47617184287546e-09,-0.444315694981281,0.962,0.987,0.000184514134073846
"SNAI2",7.07977778202513e-09,-1.09979593746086,0.269,0.595,0.000238546032587555
"IGFBP2",7.28055856355684e-09,-1.4065594768982,0.327,0.727,0.000245311140240484
"RBM3",7.65853174479871e-09,0.897292538748799,1,0.981,0.000258046568609248
"PCDHB9",7.83739917740287e-09,0.79873932137833,0.635,0.299,0.000264073327883412
"RPS26",7.96767457336639e-09,-0.43916056667501,1,0.987,0.000268462827075007
"IDI1",1.12006006136572e-08,-0.821680480409989,0.846,0.873,0.000377393037076565
"DSTN",1.14484039713349e-08,-0.444721541237324,1,0.999,0.000385742523410157
"PRR13",1.15762561976691e-08,-0.577632511231873,0.885,0.949,0.000390050376324264
"DYNC1I2",1.16551269621247e-08,-0.615766550654553,0.923,0.943,0.000392707847861831
"CTGF",1.27385083999592e-08,-1.28369694387857,0.558,0.711,0.000429211302028225
"C1GALT1",1.37468425791271e-08,1.12181903203681,0.865,0.592,0.00046318611386111
"THUMPD3",1.41661591828652e-08,1.08815543074645,0.788,0.482,0.000477314567507461
"CA8",1.51987739525468e-08,-1.15838276066611,0.038,0.408,0.000512107489557111
"ENPP5",1.7058820183204e-08,-0.815665003213945,0.212,0.55,0.000574779887252876
"WDR12",1.73190839549626e-08,-0.768673193856608,0.288,0.577,0.000583549214778508
"PNRC1",1.73872011608647e-08,1.01223952412847,0.981,0.942,0.000585844355914177
"RPL13",1.86721726850526e-08,0.40123325421651,1,1,0.000629140186450162
"COPZ1",2.01697687279832e-08,-0.556787286578516,0.904,0.931,0.000679600187520667
"ATIC",2.08322499200693e-08,-0.74057681001536,0.538,0.774,0.000701921828806816
"CDC5L",2.23442833070985e-08,-0.635399597475318,0.846,0.915,0.000752868281749378
"PTP4A1",2.50352411886758e-08,0.879164471712903,0.808,0.684,0.000843537416611243
"ST13",2.53091084525373e-08,-0.465463791225788,0.981,0.985,0.00085276510019979
"AP2M1",2.67769509348146e-08,-0.542577692538928,0.981,0.98,0.000902222584797642
"DPM1",2.67848623331259e-08,0.761576355743974,1,0.896,0.000902489151452342
"ROPN1B",2.78732161858622e-08,-0.864381482720302,0.596,0.812,0.00093916014616644
"PTGES3",2.85571578356558e-08,-0.57256950025323,0.981,0.983,0.000962204876114588
"NINJ1",3.04039283790851e-08,-0.726233869978598,0.865,0.914,0.00102442996280489
"GPM6B",3.29060513452952e-08,-0.89052764159627,0.712,0.805,0.00110873649402838
"FBLIM1",3.48681627855962e-08,-0.706805577091323,0.365,0.696,0.00117484787689788
"MGST3",3.62049997863921e-08,-0.55170968434816,0.981,0.988,0.0012198912628027
"ROPN1",3.70891636615691e-08,-0.840780811045428,0.25,0.529,0.00124968228041291
"GRHL1",3.74334453716911e-08,0.669195718873574,0.654,0.41,0.00126128250835376
"RPS6",3.75703546218165e-08,0.458222961509869,1,0.999,0.00126589552862748
"CLPSL1",3.9429032945633e-08,-1.25118921576011,0.192,0.548,0.00132852183607016
"LDHA",4.36320968105586e-08,1.05879127321966,0.981,0.992,0.00147013986993496
"PSAP",4.70976003443913e-08,-0.545149402226024,1,0.993,0.00158690654600392
"SUN1",4.79618586105866e-08,0.784471713489564,0.904,0.719,0.0016160268640251
"MIF",4.93948542764415e-08,0.557537596811475,1,0.995,0.00166431021999042
"FKBP9",5.21251662433443e-08,0.87943066121946,0.808,0.598,0.00175630535140324
"LINC00869",5.77123910834448e-08,-0.759697806340693,0.288,0.6,0.00194456130516559
"SNHG8",5.98467745887245e-08,-0.723503420276281,0.635,0.793,0.00201647722299248
"NT5C",6.04013310242793e-08,-0.70096917990282,0.442,0.705,0.00203516244753207
"TSPO",6.1924347461549e-08,-0.370721782757724,0.962,0.997,0.00208647896336943
"POLR2B",6.50820991027821e-08,0.763483173073759,0.942,0.731,0.00219287624716914
"ISCA1",6.5918049328255e-08,-0.661928084973233,0.615,0.791,0.00222104275406622
"CLP1",6.64433228669564e-08,-0.734763302561331,0.385,0.67,0.00223874132067923
"NRP2",6.64498512735642e-08,-1.23562981313055,0.308,0.567,0.00223896128881147
"PFN2",7.00010934630534e-08,-0.620367348959396,0.673,0.899,0.00235861684314412
"PUF60",7.23539652802607e-08,-0.511189450508621,0.923,0.98,0.0024378945061531
"PFDN5",7.44339717159383e-08,-0.343064222367774,1,0.992,0.00250797824299682
"RAB13",7.62778567848466e-08,-0.451852247340617,0.904,0.966,0.00257010610650862
"ARAF",7.72585015737206e-08,0.748862092113423,0.827,0.522,0.00260314795202494
"PDXK",9.36553268337519e-08,0.799568521774831,1,0.938,0.00315562258233644
"PYCR1",1.04296159194919e-07,-0.799707401740211,0.654,0.829,0.00351415478791359
"TIMM17B",1.10709159778829e-07,0.702333960336759,0.962,0.903,0.00373023442958785
"GPX4",1.1270177516329e-07,-0.381440259250089,0.962,0.995,0.0037973736123519
"LAPTM4A",1.13168747589637e-07,-0.515659190523937,1,0.997,0.00381310778128522
"NDUFA4",1.15017005738012e-07,-0.322230107995699,0.981,0.993,0.00387538299133656
"DARS",1.16784675346899e-07,0.733222490570907,0.75,0.579,0.00393494285113841
"NDUFB11",1.20752269517636e-07,0.63668268060845,1,0.996,0.00406862696912722
"TMEM248",1.21207167681749e-07,0.677219403381798,1,0.861,0.00408395430786884
"BLOC1S1",1.21480727256108e-07,-0.537018652410458,0.769,0.926,0.0040931716241673
"MRPS7",1.22591976288941e-07,-0.611064961964581,0.654,0.841,0.00413061404907959
"TNFRSF21",1.24179699303694e-07,-1.00609165296615,0.615,0.777,0.00418411078833866
"CCDC47",1.33482456550337e-07,-0.655074413932171,0.462,0.755,0.00449755789100705
"S100A4",1.43050004787468e-07,1.53430355734109,1,0.981,0.00481992686130895
"NONO",1.43765620980368e-07,-0.558207927157241,0.808,0.913,0.00484403883331253
"TRIP6",1.4658291893448e-07,-0.779413129018935,0.808,0.822,0.00493896487057838
"MLLT11",1.46949753653909e-07,-0.850348876323679,0.231,0.491,0.0049513249996148
"TMEM9",1.47008740339893e-07,-0.543604747853655,0.846,0.934,0.00495331249701234
"SH3BGRL",1.57646340534509e-07,-0.664720551269713,0.558,0.759,0.00531173579796973
"EIF3D",1.57735424734618e-07,-0.568051351694805,0.808,0.895,0.0053147374010082
"CLCN4",1.60197973133183e-07,0.74592525194639,0.788,0.505,0.00539771050674947
"PLA2G4A",1.65504124353712e-07,-0.981169360131258,0.154,0.428,0.00557649596597397
"COPS6",1.67517794296862e-07,-0.58879174564923,0.712,0.861,0.00564434456103845
"SEC11A",1.70081904028782e-07,-0.363515895433976,0.923,0.987,0.00573073967434578
"SMC5",1.88368679659297e-07,-0.68808046695016,0.712,0.855,0.00634689429244037
"CLIP1",1.88598421413688e-07,0.620841283198355,0.769,0.572,0.0063546352111128
"LRP5",1.94295354307627e-07,0.677368997484096,0.75,0.415,0.00654658766804118
"F8A1",1.9979574166696e-07,0.605406429748451,0.635,0.494,0.00673191771972655
"PCSK1N",2.08367013138002e-07,1.42994010194331,1,0.907,0.00702071814067184
"TOB1",2.093804722849e-07,-0.872620693523772,0.635,0.836,0.00705486563316741
"TMEM134",2.12848707446619e-07,-0.60917670398333,0.712,0.822,0.0071717243487064
"H3F3A",2.2128469050163e-07,-0.221999686718142,1,1,0.00745596636176191
"PHB",2.32106309817412e-07,-0.592150847842449,0.788,0.935,0.00782059000298788
"MRPL42",2.38999684448554e-07,-0.616624114090375,0.615,0.785,0.00805285536780957
