"","logFC","logCPM","F","PValue","ensembl_gene_id","hgnc_symbol","entrezid","gene","FDR","sig","signed_F","lab"
"1",-0.65795255341677,4.05188498711807,0.399542554437011,0.528981049263737,"ENSG00000000003","TSPAN6","7105","ENSG00000000003_TSPAN6",1,FALSE,-0.399542554437011,""
"2",1.16928889986887,4.54927857203449,0.553640160616533,0.45883648794246,"ENSG00000000419","DPM1","8813","ENSG00000000419_DPM1",0.917288342766924,FALSE,0.553640160616533,""
"3",0.231772082351921,2.96982811260944,0.0965597519206053,0.756740088245766,"ENSG00000000457","SCYL3","57147","ENSG00000000457_SCYL3",0.858789437346625,FALSE,0.0965597519206053,""
"4",-1.00199251235322,2.94249558288815,1.80735587256946,0.182316142122357,"ENSG00000000460","C1orf112","55732","ENSG00000000460_C1orf112",0.457245454744951,FALSE,-1.80735587256946,""
"5",2.52052161696585,2.86423827987937,8.52733132981826,0.00482349937301578,"ENSG00000000971","CFH","3075","ENSG00000000971_CFH",0.0531594651231124,TRUE,8.52733132981826,""
"6",0.890213117247386,5.90527635531339,1.98945889733349,0.161958364757819,"ENSG00000001036","FUCA2","2519","ENSG00000001036_FUCA2",1,FALSE,1.98945889733349,""
"7",-2.34989063591558,3.35974801175743,4.68346613219297,0.0339637740315256,"ENSG00000001084","GCLC","2729","ENSG00000001084_GCLC",0.229669366428678,FALSE,-4.68346613219297,""
"8",-2.66033723474793,3.92497197280868,4.70294844353886,0.0328363115941296,"ENSG00000001167","NFYA","4800","ENSG00000001167_NFYA",0.224548540972366,FALSE,-4.70294844353886,""
"9",1.30842731766208,4.97557579668908,2.13580182812289,0.14749308228606,"ENSG00000001460","STPG1","90529","ENSG00000001460_STPG1",0.908001702442714,FALSE,2.13580182812289,""
"10",0.509398906588513,9.94368958054425,2.75088576325298,0.100797152637968,"ENSG00000001461","NIPAL3","57185","ENSG00000001461_NIPAL3",1,FALSE,2.75088576325298,""
"11",0.360344044878386,4.54744636871754,0.217788670015237,0.641895057582678,"ENSG00000001497","LAS1L","81887","ENSG00000001497_LAS1L",0.960123877551878,FALSE,0.217788670015237,""
"12",2.98149426540509,5.02687949860415,4.04712422662686,0.0473369096141837,"ENSG00000001626","CFTR","1080","ENSG00000001626_CFTR",0.547835010602837,FALSE,4.04712422662686,""
"13",0.939344328667408,5.97336132332518,1.04911187832255,0.308547614814726,"ENSG00000001629","ANKIB1","54467","ENSG00000001629_ANKIB1",1,FALSE,1.04911187832255,""
"14",0.267037095458078,7.47609097924738,0.479036071652061,0.49070000435231,"ENSG00000001630","CYP51A1","1595","ENSG00000001630_CYP51A1",1,FALSE,0.479036071652061,""
"15",0.885900743088441,4.55715549727568,0.600642599882579,0.440431607029863,"ENSG00000001631","KRIT1","889","ENSG00000001631_KRIT1",0.866944338653376,FALSE,0.600642599882579,""
"16",4.07240433332822,4.94468357189793,8.49117361875413,0.00453431492414895,"ENSG00000002016","RAD52","5893","ENSG00000002016_RAD52",0.146325077905388,FALSE,8.49117361875413,""
"17",0.0059306318163574,7.82485438304049,3.99899582953202e-05,0.99496886132796,"ENSG00000002330","BAD","572","ENSG00000002330_BAD",1,FALSE,3.99899582953202e-05,""
"18",1.64380083915594,5.90617429221021,2.03131621295225,0.157660294503556,"ENSG00000002549","LAP3","51056","ENSG00000002549_LAP3",1,FALSE,2.03131621295225,""
"19",-0.286590540541844,9.07380556667739,0.860513618653553,0.356158087308492,"ENSG00000002586","CD99","4267","ENSG00000002586_CD99",1,FALSE,-0.860513618653553,""
"20",1.90779425705393,3.27584280360988,2.89613327150136,0.0926224853777301,"ENSG00000002746","HECW1","23072","ENSG00000002746_HECW1",0.407133311595185,FALSE,2.89613327150136,""
"21",0.646858050940277,6.82778842449984,0.25288551070392,0.616319626221104,"ENSG00000002822","MAD1L1","8379","ENSG00000002822_MAD1L1",1,FALSE,0.25288551070392,""
"22",-1.0048705084963,5.30912172492545,2.15355113915654,0.145841818286299,"ENSG00000002834","LASP1","3927","ENSG00000002834_LASP1",0.907073322190254,FALSE,-2.15355113915654,""
"23",-0.223634915843661,4.47949609271583,0.0347678202683997,0.852516556735694,"ENSG00000002919","SNX11","29916","ENSG00000002919_SNX11",1,FALSE,-0.0347678202683997,""
"24",-0.649510150453726,3.35279345043975,0.322350063862291,0.571659173799601,"ENSG00000002933","TMEM176A","55365","ENSG00000002933_TMEM176A",0.955911851539117,FALSE,-0.322350063862291,""
"25",0.489185703961979,5.85137079253915,0.232710951550169,0.63073088821354,"ENSG00000003056","M6PR","4074","ENSG00000003056_M6PR",1,FALSE,0.232710951550169,""
"26",-2.68127859383746,4.60694518481071,3.04181981414206,0.0846722983386212,"ENSG00000003393","ALS2","57679","ENSG00000003393_ALS2",0.509277532665706,FALSE,-3.04181981414206,""
"27",1.08408561088246,4.39532133425513,0.799922057442694,0.373581121145493,"ENSG00000003400","CASP10","843","ENSG00000003400_CASP10",0.764575837107333,FALSE,0.799922057442694,""
"28",-0.848777811375218,7.2691215583441,1.19819916631948,0.27669925627004,"ENSG00000003402","CFLAR","8837","ENSG00000003402_CFLAR",1,FALSE,-1.19819916631948,""
"29",0.898548329031814,6.09247004539195,1.37189967742996,0.244679549793201,"ENSG00000003436","TFPI","7035","ENSG00000003436_TFPI",1,FALSE,1.37189967742996,""
"30",-1.26051845831831,4.3793653586052,1.21414336532564,0.273548162463476,"ENSG00000003509","NDUFAF7","55471","ENSG00000003509_NDUFAF7",0.75587915648362,FALSE,-1.21414336532564,""
